sample_id	strain	assembly_accession	included_in_roary	evidence_source
LABIM53	Bacillus nitratireducens LABIM53	JBLFHU000000000	true	Dissertation Table 1
DE0281	Bacillus nitratireducens DE0281	NZ_VEKU00000000.1	true	Dissertation Table 1
DE0018	Bacillus nitratireducens DE0018	NZ_VEMS00000000.1	true	Dissertation Table 1
112MF	Bacillus nitratireducens 112MF	NZ_FNRB00000000.1	true	Dissertation Table 1
4049	Bacillus nitratireducens 4049	NZ_JAUMJO000000000.1	true	Dissertation Table 1
ATCC6463	Bacillus nitratireducens ATCC6463	NZ_VKPW00000000	true	Dissertation Table 1
NRS-319	Bacillus nitratireducens NRS-319	NZ_JARTIK000000000.1	true	Dissertation Table 1
DE0363	Bacillus nitratireducens DE0363	NZ_VEKC00000000.1	true	Dissertation Table 1
DE0364	Bacillus nitratireducens DE0364	NZ_VEKB00000000.1	true	Dissertation Table 1
HD-50	Bacillus nitratireducens HD-50	NZ_JARLXK000000000.1	true	Dissertation Table 1
JJ1048	Bacillus nitratireducens JJ1048	NZ_JBANCC000000000.1	true	Dissertation Table 1
DE0336	Bacillus nitratireducens DE0336	NZ_VEKG00000000.1	true	Dissertation Table 1
N4150	Bacillus nitratireducens N4150	NZ_CP093844.1	true	Dissertation Table 1
BD-32	Bacillus nitratireducens BD-32	NZ_JARLYH000000000.1	true	Dissertation Table 1
BM02	Bacillus nitratireducens BM02	NZ_CP047366.1	true	Dissertation Table 1

